OrderDate,ProductName,UnitPrice,Quantity,UnitPriceDiscounted,TotalPrice,ShipName,ShipCountry,IsEurophian
1996-07-04 00.00.00.000,Queso Cabrales,"21,00",12,21,252,Vins et alcools Chevalier,France,1
1996-07-04 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",10,14,140,Vins et alcools Chevalier,France,1
1996-07-04 00.00.00.000,Mozzarella di Giovanni,"34,80",5,"34,8",174,Vins et alcools Chevalier,France,1
1996-07-05 00.00.00.000,Tofu,"23,25",9,"23,25","209,25",Toms Spezialitäten,Germany,1
1996-07-05 00.00.00.000,Manjimup Dried Apples,"53,00",40,53,2120,Toms Spezialitäten,Germany,1
1996-07-08 00.00.00.000,Jack's New England Clam Chowder,"9,65",10,"9,65","96,5",Hanari Carnes,Brazil,0
1996-07-08 00.00.00.000,Manjimup Dried Apples,"53,00",35,"45,050003","1576,7501",Hanari Carnes,Brazil,0
1996-07-08 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",15,"17,8925","268,3875",Hanari Carnes,Brazil,0
1996-07-08 00.00.00.000,Gustaf's Knäckebröd,"21,00",6,"19,949999","119,7",Victuailles en stock,France,1
1996-07-08 00.00.00.000,Ravioli Angelo,"19,50",15,"18,525","277,875",Victuailles en stock,France,1
1996-07-08 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",20,"21,05",421,Victuailles en stock,France,1
1996-07-09 00.00.00.000,Sir Rodney's Marmalade,"81,00",40,"76,95",3078,Suprêmes délices,Belgium,1
1996-07-09 00.00.00.000,Geitost,"2,50",25,"2,375","59,375",Suprêmes délices,Belgium,1
1996-07-09 00.00.00.000,Camembert Pierrot,"34,00",40,34,1360,Suprêmes délices,Belgium,1
1996-07-10 00.00.00.000,Gorgonzola Telino,"12,50",20,"12,5",250,Hanari Carnes,Brazil,0
1996-07-10 00.00.00.000,Chartreuse verte,"18,00",42,18,756,Hanari Carnes,Brazil,0
1996-07-10 00.00.00.000,Maxilaku,"20,00",40,20,800,Hanari Carnes,Brazil,0
1996-07-11 00.00.00.000,Guaraná Fantástica,"4,50",15,"3,825","57,375",Chop-suey Chinese,Switzerland,1
1996-07-11 00.00.00.000,Pâté chinois,"24,00",21,"20,400002","428,40002",Chop-suey Chinese,Switzerland,1
1996-07-11 00.00.00.000,Longlife Tofu,"10,00",21,10,210,Chop-suey Chinese,Switzerland,1
1996-07-12 00.00.00.000,Chang,"19,00",20,19,380,Richter Supermarkt,Switzerland,1
1996-07-12 00.00.00.000,Pavlova,"17,45",35,"17,45","610,75",Richter Supermarkt,Switzerland,1
1996-07-12 00.00.00.000,Inlagd Sill,"19,00",25,19,475,Richter Supermarkt,Switzerland,1
1996-07-12 00.00.00.000,Raclette Courdavault,"55,00",30,55,1650,Richter Supermarkt,Switzerland,1
1996-07-15 00.00.00.000,Perth Pasties,"32,80",15,"32,8",492,Wellington Importadora,Brazil,0
1996-07-15 00.00.00.000,Original Frankfurter grüne Soße,"13,00",12,13,156,Wellington Importadora,Brazil,0
1996-07-16 00.00.00.000,Schoggi Schokolade,"43,90",25,"43,9","1097,5",HILARION-Abastos,Venezuela,1
1996-07-16 00.00.00.000,Chartreuse verte,"18,00",6,18,108,HILARION-Abastos,Venezuela,1
1996-07-16 00.00.00.000,Original Frankfurter grüne Soße,"13,00",15,13,195,HILARION-Abastos,Venezuela,1
1996-07-17 00.00.00.000,Chang,"19,00",50,"15,2",760,Ernst Handel,Austria,1
1996-07-17 00.00.00.000,Chef Anton's Gumbo Mix,"21,35",65,"17,08","1110,2",Ernst Handel,Austria,1
1996-07-17 00.00.00.000,Mascarpone Fabioli,"32,00",6,"25,6","153,6",Ernst Handel,Austria,1
1996-07-18 00.00.00.000,Sir Rodney's Scones,"10,00",10,10,100,Centro comercial Moctezuma,Mexico,0
1996-07-18 00.00.00.000,Gravad lax,"26,00",1,26,26,Centro comercial Moctezuma,Mexico,0
1996-07-19 00.00.00.000,Jack's New England Clam Chowder,"9,65",16,"7,2374997","115,799995",Ottilies Käseladen,Germany,1
1996-07-19 00.00.00.000,Ravioli Angelo,"19,50",50,"19,5",975,Ottilies Käseladen,Germany,1
1996-07-19 00.00.00.000,Tarte au sucre,"49,30",15,"36,975","554,625",Ottilies Käseladen,Germany,1
1996-07-19 00.00.00.000,Outback Lager,"15,00",21,"11,25","236,25",Ottilies Käseladen,Germany,1
1996-07-19 00.00.00.000,Sir Rodney's Scones,"10,00",20,10,200,Que Delícia,Brazil,0
1996-07-19 00.00.00.000,Steeleye Stout,"18,00",20,18,360,Que Delícia,Brazil,0
1996-07-22 00.00.00.000,Chef Anton's Gumbo Mix,"21,35",12,"17,08","204,95999",Rattlesnake Canyon Grocery,USA,0
1996-07-22 00.00.00.000,Uncle Bob's Organic Dried Pears,"30,00",15,30,450,Rattlesnake Canyon Grocery,USA,0
