,date,street,level,median_length,median_delay,median_speed_kmh,median_record,id,y5,y3,y4,city
0,2022-07-06,Abdul Rahman Saleh,2,838.0,85.5,16.715,15.0,2022-07-06_Abdul Rahman Saleh,0,0,3,KOTA BANDUNG
1,2022-07-06,Akses Tol Pasteur,3,374.0,172.5,4.52,15.0,2022-07-06_Akses Tol Pasteur,4,1,0,KOTA BANDUNG
2,2022-07-06,Alkateri,2,317.0,63.5,8.829999999999998,7.0,2022-07-06_Alkateri,4,1,0,KOTA BANDUNG
3,2022-07-06,Anggrek,3,341.0,111.0,6.735,10.0,2022-07-06_Anggrek,4,1,0,KOTA BANDUNG
4,2022-07-06,Antapani,1,717.0,83.25,11.0699995,6.5,2022-07-06_Antapani,1,0,3,KOTA BANDUNG
5,2022-07-06,Arah Cihampelas/Pasteur/Pajajaran,4,225.0,122.0,5.79,4.0,2022-07-06_Arah Cihampelas/Pasteur/Pajajaran,4,1,0,KOTA BANDUNG
6,2022-07-06,Arah Mustang/Cibogo/Gunung Batu,4,207.0,128.0,4.97,29.0,2022-07-06_Arah Mustang/Cibogo/Gunung Batu,4,1,0,KOTA BANDUNG
7,2022-07-06,Arah Taman Sari/Dago/Dipati Ukur/Sabuga,4,265.0,136.5,5.96,16.5,2022-07-06_Arah Taman Sari/Dago/Dipati Ukur/Sabuga,4,1,0,KOTA BANDUNG
8,2022-07-06,Arcamanik Endah,2,781.5,116.5,14.66,9.5,2022-07-06_Arcamanik Endah,1,0,3,KOTA BANDUNG
9,2022-07-06,Asia Afrika,3,1060.0,104.0,16.325000000000003,17.0,2022-07-06_Asia Afrika,0,0,2,KOTA BANDUNG
10,2022-07-06,Astana Anyar,3,670.0,103.0,12.88,23.0,2022-07-06_Astana Anyar,1,0,3,KOTA BANDUNG
11,2022-07-06,BKR,3,857.0,95.5,16.365000000000002,11.5,2022-07-06_BKR,0,0,3,KOTA BANDUNG
12,2022-07-06,Babakan Ciparay,3,249.5,89.0,5.37749985,9.5,2022-07-06_Babakan Ciparay,4,1,0,KOTA BANDUNG
13,2022-07-06,Babakan Lembur Tengah,2,592.0,87.0,12.38,2.0,2022-07-06_Babakan Lembur Tengah,1,0,3,KOTA BANDUNG
14,2022-07-06,Babakan Sari,2,665.0,71.5,12.775,8.0,2022-07-06_Babakan Sari,1,0,3,KOTA BANDUNG
15,2022-07-06,Badak Singa,4,157.0,183.0,2.79,12.0,2022-07-06_Badak Singa,4,1,0,KOTA BANDUNG
16,2022-07-06,Balong Gede,3,344.0,172.5,4.4399996,4.0,2022-07-06_Balong Gede,4,1,0,KOTA BANDUNG
17,2022-07-06,Banceuy,2,525.0,66.0,14.45,13.0,2022-07-06_Banceuy,1,0,3,KOTA BANDUNG
18,2022-07-06,Batu Kencana,3,285.0,201.0,3.615,7.0,2022-07-06_Batu Kencana,4,1,0,KOTA BANDUNG
19,2022-07-06,Batununggal,2,371.0,80.0,7.02,9.0,2022-07-06_Batununggal,4,1,0,KOTA BANDUNG
20,2022-07-06,Bojong Koneng,1,542.0,72.0,11.25,6.5,2022-07-06_Bojong Koneng,1,1,3,KOTA BANDUNG
21,2022-07-06,Bojong Raya,2,752.0,83.0,15.94,8.0,2022-07-06_Bojong Raya,1,0,3,KOTA BANDUNG
22,2022-07-06,Braga,2,392.0,144.0,6.19,21.0,2022-07-06_Braga,4,1,0,KOTA BANDUNG
23,2022-07-06,Brigjen Katamso,2,564.0,75.0,15.9,5.0,2022-07-06_Brigjen Katamso,1,0,3,KOTA BANDUNG
