iter	RMSE
0	5.384706348
1	5.23138373
2	5.088873931
3	4.95200691
4	4.830473556
5	4.719633387
6	4.608747081
7	4.50440705
8	4.414141796
9	4.323444163
10	4.245160486
11	4.171228788
12	4.098565334
13	4.032066102
14	3.978193774
15	3.914884178
16	3.86119317
17	3.818438471
18	3.775583744
19	3.736478034
20	3.69442731
21	3.661500479
22	3.631890174
23	3.597951989
24	3.568903108
25	3.540564119
26	3.518515084
27	3.49607657
28	3.474228568
29	3.451827706
30	3.433941422
31	3.416458515
32	3.399013176
33	3.386103422
34	3.372004456
35	3.355836111
36	3.343541848
37	3.332119686
38	3.320097216
39	3.310072463
40	3.301379441
41	3.291715275
42	3.282186217
43	3.274039704
44	3.26479629
45	3.257659349
46	3.250900885
47	3.243829047
48	3.235644001
49	3.230548587
50	3.225450296
51	3.220829545
52	3.214068715
53	3.210676826
54	3.206026455
55	3.201767441
56	3.197708616
57	3.193923686
58	3.190022921
59	3.183047537
60	3.179382537
61	3.175771327
62	3.169710447
63	3.164301603
64	3.161214199
65	3.157430105
66	3.151923289
67	3.14856886
68	3.143740105
69	3.142093252
70	3.138995153
71	3.135544354
72	3.132099705
73	3.127481038
74	3.124052575
75	3.119520147
76	3.117886988
77	3.114595212
78	3.112283807
79	3.106755997
80	3.104726781
81	3.100691936
82	3.09940992
83	3.095430218
84	3.093079821
85	3.091408819
86	3.088413683
87	3.0858614
88	3.0844089
89	3.081829594
90	3.079314136
91	3.077035556
92	3.074306765
93	3.072713387
94	3.070505729
95	3.068514866
96	3.064492058
97	3.061590019
98	3.059017968
99	3.056395749
100	3.055276199
101	3.052482005
102	3.051442892
103	3.049375009
104	3.046133872
105	3.044796109
106	3.042615888
107	3.040213212
108	3.037807379
109	3.036108808
110	3.033318455
111	3.030925875
112	3.029419513
113	3.027490038
114	3.024861678
115	3.022024786
116	3.019337493
117	3.018115716
118	3.016108307
119	3.014203622
120	3.011827477
121	3.009454192
122	3.008396438
123	3.004841215
124	3.004026796
125	3.002788883
126	3.001685653
127	2.998744019
128	2.99607588
129	2.993810799
130	2.99171059
131	2.990718529
132	2.987786456
133	2.986710739
134	2.983508249
135	2.982239254
136	2.980904005
137	2.979811303
138	2.977144482
139	2.973570046
140	2.972456387
141	2.971484765
142	2.969787844
143	2.967909136
144	2.965800145
145	2.963666052
146	2.96209749
147	2.960320955
148	2.957853348
149	2.955925059
150	2.954206243
151	2.950276003
152	2.948168913
153	2.946432785
154	2.945396407
155	2.943995912
156	2.942929491
157	2.941721263
158	2.939616213
159	2.937402391
160	2.935502163
161	2.933597862
162	2.930657721
163	2.927180995
164	2.925002376
165	2.922651021
166	2.920461792
167	2.918668118
168	2.916781953
169	2.914333279
170	2.912451254
171	2.910565121
172	2.909311304
173	2.905334461
174	2.902708125
175	2.899096942
176	2.897206761
177	2.894089451
178	2.89197227
179	2.890280529
180	2.887444359
