iter	Passed	Remaining
0	6	6676
1	13	6573
2	19	6327
3	20	5150
4	22	4462
5	24	3983
6	26	3797
7	28	3535
8	30	3372
9	32	3200
10	34	3069
11	35	2943
12	37	2880
13	43	3093
14	45	2988
15	47	2947
16	49	2879
17	52	2845
18	54	2835
19	57	2796
20	58	2729
21	60	2671
22	61	2627
23	63	2581
24	64	2532
25	66	2490
26	68	2469
27	70	2463
28	72	2435
29	74	2416
30	76	2379
31	77	2351
32	79	2329
33	80	2299
34	82	2276
35	84	2259
36	86	2245
37	88	2234
38	89	2215
39	91	2196
40	93	2180
41	95	2175
42	97	2165
43	98	2149
44	100	2138
45	102	2126
46	104	2120
47	106	2106
48	108	2104
49	110	2092
50	112	2085
51	113	2073
52	115	2059
53	116	2048
54	118	2037
55	120	2027
56	122	2019
57	123	2005
58	124	1993
59	126	1988
60	128	1977
61	130	1971
62	132	1970
63	134	1964
64	136	1959
65	138	1955
66	140	1950
67	141	1941
68	143	1929
69	144	1917
70	145	1909
71	147	1904
72	149	1900
73	151	1892
74	152	1884
75	154	1879
76	156	1875
77	157	1866
78	160	1865
79	161	1860
80	163	1854
81	165	1852
82	166	1845
83	168	1838
84	170	1834
85	172	1829
86	173	1824
87	175	1819
88	177	1812
89	178	1809
90	180	1806
91	182	1802
92	184	1795
93	185	1786
94	186	1779
95	188	1773
96	189	1768
97	191	1764
98	193	1758
99	194	1753
100	196	1748
101	198	1744
102	199	1738
103	201	1732
104	202	1729
105	204	1724
106	206	1724
107	208	1719
108	209	1712
109	211	1707
110	212	1703
111	214	1699
112	215	1694
113	217	1688
114	218	1683
115	220	1681
116	222	1676
117	223	1671
118	224	1665
119	226	1661
120	228	1661
121	230	1659
122	232	1656
123	234	1653
124	235	1649
125	237	1650
126	239	1646
127	241	1643
128	242	1639
129	244	1637
130	246	1632
131	247	1627
132	248	1622
133	250	1618
134	251	1613
135	254	1619
136	256	1614
137	258	1615
138	260	1611
139	262	1610
140	263	1606
141	265	1602
142	266	1597
143	268	1594
144	270	1595
145	272	1592
146	274	1590
147	275	1586
148	277	1582
149	279	1581
150	280	1577
151	282	1574
152	283	1571
153	285	1568
154	287	1565
155	288	1560
156	290	1557
157	291	1554
158	293	1550
159	294	1547
160	296	1544
161	297	1540
162	299	1536
163	301	1534
164	303	1533
165	304	1530
166	306	1527
167	307	1524
168	309	1520
169	310	1518
170	313	1518
171	314	1514
172	316	1512
173	318	1509
174	319	1506
175	321	1503
176	322	1499
177	324	1496
178	325	1493
179	327	1490
180	328	1487
181	330	1485
182	332	1483
183	333	1479
184	335	1477
185	336	1474
186	338	1470
187	339	1466
188	341	1464
189	342	1460
190	344	1460
191	346	1457
192	348	1455
193	349	1453
194	351	1450
195	352	1446
196	353	1442
197	355	1440
198	357	1437
199	359	1436
200	360	1433
201	362	1431
202	363	1427
203	365	1426
204	367	1424
205	369	1422
206	370	1420
207	372	1417
208	373	1414
209	375	1412
210	376	1409
211	378	1406
212	379	1403
213	381	1401
214	383	1398
215	384	1397
216	386	1395
217	388	1393
218	389	1389
219	391	1388
220	393	1386
221	394	1383
222	396	1380
223	397	1376
224	398	1373
225	400	1370
226	401	1367
227	403	1364
228	404	1362
229	406	1360
230	407	1358
231	409	1356
232	411	1354
233	412	1351
234	414	1348
235	415	1346
236	417	1344
237	419	1341
238	420	1339
239	422	1336
240	423	1333
241	425	1331
242	426	1329
243	428	1327
244	429	1324
245	431	1322
246	433	1321
247	435	1319
248	436	1316
249	438	1316
250	440	1313
251	441	1311
252	443	1309
253	444	1306
254	446	1303
255	447	1301
256	449	1300
257	451	1297
258	452	1295
259	454	1292
260	455	1291
261	457	1288
262	459	1286
263	460	1284
264	462	1281
265	464	1281
266	466	1279
267	467	1277
268	468	1274
269	470	1271
270	472	1270
271	474	1269
272	475	1266
273	476	1263
274	478	1262
275	480	1260
276	481	1257
277	483	1255
278	484	1253
279	486	1250
280	487	1247
281	489	1245
282	490	1242
283	492	1240
284	494	1239
285	495	1237
286	497	1234
287	498	1232
288	500	1230
289	501	1227
290	502	1225
291	504	1222
292	505	1219
293	507	1217
294	509	1216
295	510	1214
296	512	1212
297	513	1210
298	515	1207
299	516	1206
300	518	1203
301	519	1201
302	521	1199
303	523	1197
304	524	1195
305	526	1193
306	527	1191
307	529	1189
308	530	1186
309	532	1185
310	534	1183
311	535	1181
312	537	1178
313	538	1176
314	540	1174
315	542	1173
316	543	1170
317	544	1168
318	546	1166
319	547	1164
320	549	1162
321	551	1161
322	553	1159
323	555	1158
324	556	1156
325	558	1154
326	559	1152
327	561	1150
328	564	1151
329	566	1149
330	567	1147
331	569	1145
332	570	1143
333	572	1142
334	575	1141
335	576	1139
336	579	1139
337	581	1138
338	582	1135
339	583	1133
340	585	1132
341	588	1131
342	592	1135
343	594	1133
344	595	1131
345	598	1130
346	599	1128
