iter	RMSE
0	318.922002
1	317.6798767
2	316.459338
3	315.1227991
4	313.9491942
5	312.3565229
6	310.5389175
7	308.9687203
8	307.7778964
9	306.529152
10	305.2308681
11	303.6176807
12	302.4139143
13	301.6982598
14	300.1111357
15	298.471555
16	296.9700899
17	295.7695009
18	294.6013577
19	293.3546012
20	292.6512294
21	291.2645894
22	289.9255177
23	288.8618507
24	287.4730723
25	287.1960238
26	286.506175
27	285.6532568
28	284.4479115
29	283.4273899
30	281.8991286
31	281.0521251
32	279.3892349
33	278.1204986
34	277.3258374
35	275.9113192
36	275.5372388
37	274.2168108
38	272.7886076
39	271.9662364
40	270.7965118
41	270.3472885
42	270.106172
43	269.6489642
44	269.0887751
45	268.4696448
46	268.0538274
47	267.2564525
48	266.3706157
49	265.3871258
50	264.4128803
51	263.5648056
52	262.7142276
53	261.8217317
54	261.4674111
55	260.4070242
56	259.3349883
57	258.3823482
58	257.2542692
59	256.6678967
60	255.9243394
61	254.6742615
62	254.055099
63	252.8983022
64	252.1069316
65	251.2165228
66	250.3157538
67	249.7402002
68	248.7561718
69	247.9188813
70	247.509328
71	246.6005733
72	245.4314476
73	244.4610385
74	243.0428597
75	242.2249825
76	241.2749008
77	240.2871753
78	239.3558851
79	238.4373883
80	236.9332219
81	236.3338723
82	235.4403423
83	234.9585288
84	234.4776571
85	233.7084566
86	233.3443967
87	232.7842313
88	231.8195938
89	230.8010796
90	229.9263482
91	229.6394816
92	228.9493107
93	228.0641363
94	227.4141505
95	226.6524946
96	225.6889406
97	225.2952438
98	225.0472186
99	224.6086659
100	223.9129403
101	223.1345308
102	222.4695292
103	221.5792686
104	221.2148065
105	220.2162937
106	219.2820045
107	218.4403687
108	217.2027294
109	216.3671026
110	216.0009553
111	215.0171244
112	214.25061
113	213.4644316
114	212.6602979
115	211.9704608
116	211.1483123
117	210.5173852
118	209.4962584
119	208.8500129
120	208.1795221
121	207.430327
122	206.6909698
123	206.2761598
124	205.3333418
125	204.5981899
126	204.3783634
127	203.7049512
128	203.0741059
129	202.3006861
130	201.7586059
131	201.5629736
132	201.312369
133	200.6476412
134	200.3314718
135	199.5607731
136	198.946246
137	197.9454733
138	197.3037225
139	196.37474
140	195.5194636
141	195.1815576
142	194.9008085
143	194.5472521
144	193.9231476
145	193.0330202
146	192.5366117
147	191.9038953
148	191.3265036
149	190.901338
150	190.294912
151	189.6113556
152	188.7189399
153	187.9131774
154	187.4572441
155	187.2542229
156	186.3021255
157	185.6871509
158	185.4238912
159	184.7031499
160	184.3848246
161	184.0156846
162	183.5491374
163	182.9350669
164	182.3473391
165	181.9589888
166	181.5129223
167	180.934174
168	180.2467841
169	179.7603799
170	179.2644267
171	178.9105266
172	178.6993067
173	178.2889587
174	178.2422454
175	177.4045684
176	176.7570258
177	176.5287981
178	175.7806802
179	175.5402738
180	174.7970422
181	174.5226595
182	173.8925162
183	173.4102618
184	173.0652444
185	172.4178589
186	171.7762995
187	171.5141965
188	171.0258818
189	170.4203494
190	169.5550086
191	169.0802632
192	168.7776852
193	168.2202931
194	167.8197616
195	167.2797457
196	166.9175075
197	166.6745481
198	166.4461739
199	165.9165296
200	165.4508303
201	164.7392195
202	163.8998727
203	163.6327201
204	163.0912985
205	162.7587369
206	162.0046292
207	161.8279415
208	161.3621961
209	160.9820293
210	160.1393571
211	159.7481522
212	159.1735508
213	158.7455614
214	158.4163439
215	157.836952
216	157.5904778
217	157.3980727
218	157.0929697
219	156.6833624
220	156.4321054
221	156.1377724
222	155.3917991
223	154.8741025
