iter	Passed	Remaining
0	0	718
1	1	536
2	1	498
3	2	513
4	2	471
5	2	438
6	3	433
7	3	418
8	3	406
9	4	413
10	4	408
11	4	406
12	5	402
13	5	393
14	6	397
15	6	390
16	6	389
17	7	396
18	7	395
19	7	389
20	8	396
21	9	402
22	9	402
23	9	398
24	10	399
25	10	392
26	10	392
27	11	396
28	11	399
29	12	396
30	12	392
31	12	390
32	13	386
33	13	385
34	13	381
35	14	380
36	14	385
37	15	389
38	15	387
39	15	383
40	16	381
41	16	374
42	16	371
43	16	367
44	17	367
45	17	368
46	18	365
47	18	368
48	19	369
49	19	367
50	19	367
51	20	367
52	20	364
53	20	362
54	20	358
55	21	357
56	21	359
57	22	359
58	22	356
59	22	357
60	23	357
61	23	360
62	24	362
63	24	362
64	25	360
65	25	362
66	25	361
67	26	362
68	26	360
69	27	359
70	27	359
71	27	357
72	28	357
73	28	356
74	28	355
75	29	355
76	29	355
77	30	354
78	30	355
79	30	356
80	31	357
81	31	357
82	32	356
83	32	354
84	32	354
85	33	353
86	33	352
87	33	351
88	34	353
89	35	355
90	35	355
91	35	354
92	36	353
93	36	353
94	37	352
95	37	352
96	37	351
97	38	351
98	38	351
99	39	352
100	39	353
101	40	353
102	40	354
103	41	354
104	41	355
105	42	354
106	42	355
107	42	353
108	43	352
109	43	352
110	44	352
111	44	351
112	44	351
113	44	349
114	45	350
115	46	351
116	46	350
117	46	349
118	47	348
119	47	347
120	47	347
121	48	347
122	48	349
123	49	348
124	49	349
125	50	348
126	50	347
127	51	351
128	52	351
129	52	351
130	52	350
131	53	350
132	53	350
133	54	349
134	54	349
135	54	349
136	55	348
137	55	347
138	55	346
139	56	346
140	56	346
141	57	345
142	57	345
143	58	345
144	58	345
145	58	344
146	59	346
147	60	347
148	60	347
149	61	347
150	61	348
151	62	348
152	62	347
153	63	347
154	63	345
155	64	346
156	64	345
157	65	346
158	65	345
159	65	345
160	66	345
161	66	345
162	67	345
163	67	345
164	68	344
165	68	344
166	69	344
167	69	344
168	70	345
169	70	345
170	71	345
171	71	345
172	72	344
173	72	343
174	72	341
175	72	340
176	73	341
177	74	341
178	74	341
179	74	341
180	75	341
181	75	340
182	76	340
183	76	339
184	77	339
185	77	338
186	77	337
187	77	336
188	78	335
189	78	335
190	79	335
191	79	336
192	80	335
193	80	335
194	81	335
195	81	334
196	82	334
197	82	333
198	82	333
199	83	333
200	83	332
201	83	331
202	84	331
203	84	330
204	85	330
205	85	330
206	86	329
207	86	329
208	86	328
209	87	327
210	87	327
211	87	326
212	88	326
213	89	327
214	89	326
215	89	326
216	90	326
217	90	325
218	91	326
219	91	325
220	92	325
221	93	326
222	93	325
223	93	325
224	94	325
225	94	325
226	95	325
227	96	325
228	96	325
229	97	324
230	97	324
231	97	323
232	98	322
233	98	322
234	99	322
235	99	321
236	99	321
237	100	320
238	100	320
239	101	319
240	101	319
241	102	319
242	102	319
243	102	318
244	103	318
245	103	317
246	104	317
247	104	316
248	105	316
249	105	316
250	105	316
251	106	315
252	106	314
253	106	314
254	107	314
255	107	313
256	108	313
257	108	313
258	109	312
259	109	312
260	109	311
261	110	311
262	111	311
263	111	310
264	111	310
265	111	308
266	112	308
267	112	307
268	112	307
269	113	306
270	113	306
271	114	306
272	114	305
273	115	304
274	115	304
275	115	304
276	116	303
277	116	303
278	117	302
279	117	301
280	117	301
281	118	300
282	118	300
283	118	299
284	119	299
285	120	299
286	120	299
287	120	298
288	121	298
289	121	298
290	122	298
291	123	298
292	123	298
293	123	297
294	124	297
295	124	296
296	125	296
297	125	295
298	125	295
299	126	294
300	126	294
301	127	294
302	127	294
303	128	293
304	128	293
305	129	292
306	129	292
307	129	291
308	130	291
309	130	291
310	131	290
311	131	289
312	131	289
313	132	288
314	132	288
315	132	287
316	133	287
317	133	286
318	134	286
319	134	286
320	135	285
321	135	285
322	135	284
323	136	284
324	136	284
325	137	284
326	137	283
327	138	283
328	138	283
329	139	282
